"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","balance_payment","0","0","1","0","0"
"","","Balance_payment","0","0","1","0","0"
"","","cash_payment","0","0","1","0","0"
